orderItemID,returnShipment
1,0.967874333248
2,0.0
3,1.0
4,0.427567838524
5,0.0
6,0.771635149186
7,0.0162552539226
8,0.385383423428
9,1.0
10,1.0
11,0.0
12,0.542708624374
13,0.14379648683
14,1.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0244
20,0.35029773589
21,0.0
22,0.0
23,0.1251
24,1.0
25,0.864047859951
26,0.798631436599
27,0.0414875970295
28,0.0
29,0.0
30,0.759050330312
31,0.0820501119871
32,0.342975301238
33,0.0
34,0.0
35,0.084803033771
36,0.107423203197
37,1.0
38,0.0
39,1.0
40,1.0
41,1.0
42,0.893144556459
43,0.936611898427
44,0.0
45,0.295479637443
46,0.08857418373
47,0.0637694736535
48,1.0
49,0.525254958643
50,0.0
51,0.749206326348
52,0.0
53,0.997516620199
54,0.0
55,0.369769936734
56,1.0
57,0.253893969285
58,0.0
59,0.0
60,0.263350659912
61,0.0
62,0.703517766076
63,0.0
64,0.0
65,0.56759006059
66,1.0
67,0.0
68,0.0
69,1.0
70,1.0
71,0.0
72,0.0
73,0.708525380352
74,1.0
75,1.0
76,0.285099390718
77,0.663273091897
78,0.0
79,0.0
80,1.0
81,1.0
82,0.334796583973
83,0.721939442509
84,1.0
85,0.0
86,0.0
87,0.0
88,0.827705141566
89,0.260910406453
90,0.939400183133
91,1.0
92,0.0
93,0.0657329459362
94,0.0
95,0.594950680504
96,0.0166045198484
97,1.0
98,1.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0331694276834
105,1.0
106,0.923380897778
107,0.819423898488
108,0.0
109,0.0
110,0.969561262501
111,1.0
112,0.189183251478
113,0.117352559044
114,0.0
115,1.0
116,0.73275132298
117,1.0
118,0.0
119,0.0
120,0.0
121,0.781084982705
122,1.0
123,0.940160885706
124,0.0
125,0.0
126,1.0
127,1.0
128,0.0
129,0.515812948068
130,0.133591323907
131,0.0
132,0.0
133,0.0
134,0.0840402170249
135,0.201751320702
136,0.378694360113
137,1.0
138,0.343760896308
139,0.0
140,0.0
